lat,lng,renewable_proximity,demand_proximity,transport_score,land_cost,energy_cost,subsidy_score,efficiency_score,cost_per_kg
34.0522,-118.2437,0.85,0.92,0.78,1500000,0.12,0.65,0.91,2.1
40.7128,-74.006,0.72,0.95,0.85,2800000,0.15,0.45,0.82,2.8
41.8781,-87.6298,0.68,0.88,0.72,1200000,0.11,0.75,0.79,2.3
29.7604,-95.3698,0.91,0.82,0.65,800000,0.09,0.85,0.87,1.8
33.4484,-112.074,0.95,0.75,0.68,950000,0.08,0.9,0.93,1.6
39.7392,-104.9903,0.82,0.79,0.74,1100000,0.1,0.7,0.84,2.0
32.7157,-117.1611,0.76,0.85,0.79,1800000,0.13,0.6,0.8,2.5
47.6062,-122.3321,0.65,0.9,0.82,2200000,0.14,0.55,0.75,2.9
25.7617,-80.1918,0.88,0.78,0.71,1300000,0.11,0.8,0.89,1.9
42.3601,-71.0589,0.7,0.93,0.86,2500000,0.16,0.5,0.77,3.1
-22.58277860747475,162.25715030756982,0.7971532807151038,0.9784544784612038,0.6531693250553328,2503274,0.14,0.5531726086101638,0.7640869360564227,2.76
27.159925130793525,-159.6918315502439,0.7349642858589616,0.767699191851525,0.9924756240692034,1489436,0.14,0.9077429935229195,0.8628604131673695,1.32
-64.89110508263246,-74.82792652732147,0.5944984297438889,0.4290569015885641,0.5741050078151497,2916182,0.25,0.7195440933825217,0.5954649079937969,3.25
32.45535694580035,-17.820269290964518,0.3959920576404861,0.9179135417342756,0.8558385269030009,756508,0.22,0.37978044873003325,0.6711987961191496,2.49
-57.19750419814878,91.9301077143549,0.49330910442662756,0.6970325021989398,0.6077068563651633,2595505,0.21,0.6133314557017249,0.6256687783396524,3.16
-74.0713496306545,-109.44616952910773,0.6826527576417639,0.7048344456616067,0.4042956019265145,1822905,0.24,0.4560311583210582,0.5303022532223115,3.34
-36.67076897326517,-120.5039019373191,0.6934694796289753,0.7087048634630411,0.3873866410826974,2252126,0.21,0.44087380157259737,0.6577652193401091,3.48
48.82866240347025,-153.34392537572748,0.5741173715166041,0.7036181436223178,0.7662526862807127,851279,0.12,0.7951090254244718,0.7312168146842072,1.68
16.433601787390884,-81.1001545235769,0.39333654672701274,0.9104221329295396,0.5132474318175899,1397421,0.15,0.7568416375307877,0.4534482329104567,2.1
-85.42455718606287,-141.15908628241039,0.7130570602357257,0.7051488974301199,0.7183521553071004,1959933,0.08,0.2024862170798214,0.7559083948149823,3.43
-53.44897954774151,159.4272854008732,0.943438074901206,0.8735599615462712,0.7586118491291144,609556,0.22,0.7793260767421892,0.8405387629747462,1.95
70.660619728196,14.163207089634255,0.5946920359183971,0.7008506780103347,0.6215783693735684,627948,0.22,0.30729701037357626,0.6348612014146529,2.75
-14.866019433219776,-100.04118823053712,0.6485928225209845,0.6296584096167572,0.6677428576667981,1513343,0.16,0.6808101713629077,0.6155205935245498,2.17
-44.29522549181796,-91.12461737810357,0.863009053455891,0.9007480321053948,0.6116467953547974,1980415,0.23,0.5831669829637645,0.770186609239744,2.89
-1.898503150038664,174.83416347981625,0.8150945258059605,0.5775311133758463,0.5449327788086111,2241093,0.12,0.7546281711778497,0.7330372432716308,2.49
6.439443133456521,-147.495682780413,0.625985127669501,0.8884743912512929,1.0,1410681,0.15,0.7747178831270758,0.8493907050746436,1.66
-58.61404277910154,68.73758571688774,0.7930822323942602,0.7258593934705405,0.6223471202046771,1325816,0.09,0.42289752523423024,0.8153108029263054,2.35
-48.86099607648606,-117.01622624546297,0.7019550849649826,0.8066654387959638,0.7125649199466364,1741082,0.09,0.7003192730692345,0.7847916707251947,1.71
62.39900560289507,128.2767450761133,0.8381000073569607,0.7159916316675957,0.8306096622099521,2252290,0.12,0.8205374930925423,0.7499513012497643,1.87
-2.5895243544792095,-18.56730852495096,0.6992714583023455,0.6925015040601145,0.6074946279596495,628391,0.22,0.37750052913411036,0.7108104309265919,3.04
-73.13854179094335,-47.62231089860393,0.5665728355561714,0.6276284572551842,0.6845796581171791,2411221,0.23,0.6682303949633288,0.5234727583349476,2.85
26.118605165501677,60.81266147871588,0.6440321215524455,0.8255395596217227,1.0,2015536,0.25,0.5937626403666312,0.7161121633992187,3.02
69.0289240079266,89.17875860306901,0.6808592808577938,0.8012386208923075,1.0,2520320,0.07,0.9093073510943017,0.7652393463518667,1.67
-41.674525759771775,-5.299245260526362,0.49878947530807527,0.5067458068584776,0.47045600543499994,1605534,0.15,0.8779205656293182,0.5105657018286875,1.91
35.462833379148236,72.89427023535933,0.4933495948064363,0.6093262440127316,0.803007053441732,1297079,0.23,0.7027571901824418,0.646792211474216,3.16
53.69313221401953,53.987015079995444,0.8431002645239802,0.8477086876958697,0.6369461510719309,1496161,0.14,0.7517938440986535,0.7226299705534242,2.18
-62.09250898900605,173.4627197917912,0.7224750574509397,0.7711361052106983,0.7708839170239324,2558852,0.15,0.22393748230948868,0.7158308441877665,3.72
22.120285647420047,-149.27491260224352,0.706835775985572,0.6522599478591274,1.0,2670675,0.08,0.7267838044636022,0.7730525709939107,2.18
-11.966267235466432,87.85535147968153,0.5900961698044234,0.6632584629053794,0.6728565235363535,600235,0.13,0.44129899646547777,0.6201606092967707,2.0
-44.95627833037284,17.721599294203372,0.841807253513135,0.9399610283059312,0.7754592530920819,2186293,0.2,0.930270197295898,0.8556772765507856,2.11
-61.443639424351616,-136.74072678996882,0.5979993498823086,0.7104891232699091,0.6438690249318358,578781,0.19,0.47920481610045035,0.5991606608345428,2.27
-1.5091424789701762,-9.550162518996359,0.6621147772910259,0.5628325227052726,1.0,1908836,0.23,0.3139717244078734,0.733786348287726,3.63
7.08794071201126,66.22695698333078,0.7851652551636437,0.7722272597068723,0.9344871564784485,2263211,0.13,0.7062800021920659,0.7953237430324871,2.79
